geom,nombre_del_espacio,alcaldia,longitude,latitude,ttpo_de_cineclub,el_espacio_de_exhibicion_depende_de,ano_de_apertura,objetivo,frecuencia_de_exhibicion,tipo_de_poblacion,facebook,instagram,otra,estatus
POINT(-99.14183543 19.44743181),Comuna Warrior,Cuauhtémoc,"-99,14183543","19,44743181",Mixto,Otro,2016,Promover el cine,Semanalmente,Para todo público,Sin información,https://www.instagram.com/comunawarrioroficial?igsh=MWhrZXcyY2prMWlseg==,Sin información,Activo
POINT(-99.09599081 19.39490083),Silvestre Revueltas,Iztacalco,"-99,09599081","19,39490083",Presencial en un lugar fijo,Alcaldía,2019,Promover el cine,Semanalmente,Para todo público,Sin información,Sin información,http://www.iztacalco.cdmx.gob.mx/inicio/,Activo
POINT(-99.1477553204582 19.4396620917646),Proyecta Cuauhtémoc: Cine para Todos,Cuauhtémoc,"-99,14775532","19,43966209",Mixto,Alcaldía,2024,Promover el cine,Sin temporalidad fija,Otro,Sin información,Sin información,Sin información,Activo
POINT(-99.17809244 19.3786261),Cineclub Audiovideorama Parque Hundido,Benito Juárez,"-99,17809244","19,3786261",Mixto,Alcaldía,2022,Promover el cine,Sin temporalidad fija,Para todo público,https://www.facebook.com/cineclubparquehundido,Sin información,Sin información,Activo
POINT(-99.1852112 19.4839412),Videoteca Manuel Álvarez Bravo ,Azcapotzalco,"-99,1852112","19,4839412",Presencial en un lugar fijo,Alcaldía,2019,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/AzcapotzalcoMX,Sin información,@AzcapotzalcoMx (Twitter),Activo
POINT(-99.20563266 19.4735813),Escuela de Cronistas Carlos Monsiváis ,Azcapotzalco,"-99,20563266","19,4735813",Presencial en un lugar fijo,Alcaldía,2017,Promover el cine,Fines de semana,Para todo público,https://www.facebook.com/people/Cortos-Corti-Yuz/100029060755609/,Sin información,Sin información,Activo
POINT(-99.05716048 19.36256215),Complejo cultural Barco Utopía ,Iztapalapa,"-99,05716048","19,36256215",Presencial en un lugar fijo,Alcaldía,2022,Promover el cine,Fines de semana,Para todo público,https://www.facebook.com/BarcoUtopiaAlcaldiaIztapalapa/,https://www.instagram.com/barcoutopia.iztapalapa/,https://www.culturaiztapalapa.com/barcoutopia,Activo
POINT(-99.1858691762774 19.4837690421983),Cinema Chintololo,Azcapotzalco,"-99,18586918","19,48376904",Mixto,Alcaldía,1999,Promover el cine,Quincenalmente,Para todo público,https://www.facebook.com/AzcapotzalcoMX?mibextid=ZbWKwL,Sin información,Sin información,Activo
POINT(-99.059460360937 19.3559832200787),Cineclub Pancho Villa,Iztapalapa,"-99,05946036","19,35598322",Presencial en un lugar fijo,Alcaldía,2023,Promover el cine,Tres veces por semana,Para todo público,https://www.facebook.com/kenia.pulido.942/,,,Activo
POINT(-99.1516311 19.4728185),Foro Cultural Azcapotzalco,Azcapotzalco,"-99,1516311","19,4728185",Presencial en un lugar fijo,Alcaldía,1950,Promover el cine,Dos funciones diarias siete días a la semana,Para todo público,https://www.facebook.com/AzcapotzalcoMX/,Sin información,Sin información,Activo
POINT(-99.2056112 19.4733689),Siervos de la Cultura:Cineclub,Azcapotzalco,"-99,2056112","19,4733689",Presencial en un lugar fijo,Alcaldía,2018,Promover el cine,Dos veces por semana,Para todo público,https://www.facebook.com/profile.php?id=100029060755609,Sin información,Sin información,Activo
POINT(-99.20239461 19.40429699),Serdán Alatriste,Miguel Hidalgo,"-99,20239461","19,40429699",Presencial en un lugar fijo,Alcaldía,2024,Promover el cine,Sin temporalidad fija,Vecinos y Vecinas,https://www.facebook.com/people/Biblioteca-Carmen-Serd%C3%A1n-Alatriste-UPN-153-Ecatepec/100046369417886/?locale=ms_MY,Sin información,Sin información,Activo
