geom,nombre_del_espacio,alcaldia,longitude,latitude,espacio_fisico_permanente,tipo_de_espacio_fisico,espacio_especializado,tipo_de_equipamiento,archivo_filmico,videoteca,tipo_de_archivo,redes
,,,,,,,,,,,,
POINT(-99.2056112 19.4733689),Silvestre Revueltas,Iztacalco,"-99,09599081","19,39490083",No,Sin información,Sin información,Sin información,Sí ,Sin información,Físico,Sin información
POINT(-99.28168269 19.34230229),Cine Foro Mayahuel ,Cuajimalpa,"-99,28168269","19,34230229",Sí,Sin información,Adaptado,Sin información,No,Sin información,No aplica,Sin información
POINT(-99.0056686 19.2690289),CineClub Comunitario Riachuelo Sepentino,Tláhuac,"-99,0056686","19,2690289",Sí,No aplica,Adaptado,Sin información,No,Sin información,No aplica,Sin información
POINT(-99.17197984 19.41625798),Cineclub Casa Negra (antes Cine Oculto),Itinerante,"-99,17197984","19,41625798",No,Sin información,Adaptado,Sin información,No,Sin información,No aplica,Sin información
POINT(-99.13598468 19.43629339),Cinema Queer México,Itinerante,"-99,13598468","19,43629339",Sí,Sin información,Sin información,Sin información,No,Sin información,No aplica,Sin información
POINT(-99.1852112 19.4839412),Videoteca Manuel Álvarez Bravo ,Azcapotzalco,"-99,1852112","19,4839412",Sin información,No aplica,Adaptado,Sin información,No,Sin información,No aplica,Sí
POINT(-99.15157173 19.38434642),Soy Audiovisual,Azcapotzalco,"-99,18294671","19,49087359",Sí,No aplica,Sala de cine,Sin información,No,Sin información,No aplica,Sin información
POINT(-99.12324562 19.44236357),Cine club Casa Barrio Tepito,Cuauhtémoc,"-99,1232442","19,4425096",Sí,Recuperado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1916238 19.5082611),Biblioteca Pública Jorge Alberto Menrique,Azcapotzalco,"-99,1916238","19,5082611",Sin información,De dependencia pública,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.294882 19.356444),"LUNA 2 ""Amparo Ochoa""",Cuajimalpa,"-99,294882","19,356444",Sin información,De dependencia pública,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1667241 19.4326443),IIPSOCULTA (Casa de los amigos),Iztapalapa,"-99,05775059","19,39202827",Sí,Organismo internacional,Sala de Cine,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.181716 19.42572),Museo Tamayo Arte Contemporáneo ,Miguel Hidalgo,"-99,181716","19,42572",Sí,Propio,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1383219 19.363354),Raices Centro Cultural,Iztapalapa,"-99,1383219","19,363354",Sí,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
