geom,nombre_del_espacio,alcaldia,longitude,latitude,equipo_humano,trabajo_remunerado_alterno,horas_de_trabajo,perfiles,sueldo_retribucion_economica,sostenibilidad,tipo_de_figura_legal
,,,,,,,,,,,
POINT(-99.09175682 19.46095452),Cineclub Luciérnaga,Itinerante,"-99,16974693","19,26817924",De 3 a 5 personas,Sí,3 a 5,Especializado,No,Sin información ,No aplica
POINT(-99.21014786 19.3322834),El Rule Centro de Saberes,Cuauhtémoc,"-99,1407065","19,4335607",De 3 a 5 personas,Sí,6 a 10,Sin perfil,Sí,Otros,No aplica
POINT(-99.28168269 19.34230229),"CineRgia IEMS Plantel Iztapalapa II ""Benito Juárez""",Iztapalapa,"-99,06510406","19,3146872",Otro,Sí,Otro,Especializado,No,Mixtos,No aplica
POINT(-99.1567171 19.441993),Instituto del Derecho de Asilo Museo casa de León Trotsky AC,Coyoacán,"-99,15821105","19,36445867",De 3 a 5 personas,No,1 a 2,Especializado,Sí,Mixtos,Asociación civil
POINT(-99.09012005 19.19112813),Casa Gallina AC. ,Cuauhtémoc,"-99,15996112","19,45083035",De 6 a 10 personas,No,3 a 5,Especializado,Sí,Mixtos,Asociación Civil 
POINT(-98.99316352 19.21845994),Cine Club Xicalco,Itinerante,"-99,16360556","19,23537812",De 3 a 5 personas,Sí,3 a 5,Medianamente,No,Mixtos,No aplica
POINT(-99.11751963 19.48174314),Cine club El gato azul,Tlalpan,"-99,16766684","19,26589968",De 3 a 5 personas,Sí,3 a 5,Especializado,No,Mixtos,Sin figura legal
POINT(-99.15454072 19.2953584),Escuela de Cronistas Carlos Monsiváis ,Azcapotzalco,"-99,20563266","19,4735813",De 3 a 5 personas,Sí,3 a 5,Especializado,No,Mixtos,No aplica
POINT(-99.23637016 19.27405235),CINE CLUB UNDERCITY,Venustiano Carranza,"-99,10336505","19,44746539",De 3 a 5 personas,Sí,3 a 5,Especializado,No,Mixtos,No aplica
POINT(-99.18783649 19.39518118),Centro Cultural del México Contemporáneo,Cuauhtémoc,"-99,13402882","19,43906161",Dos personas,Sí,6 a 10,Sin perfil,Sí,Mixtos,Asociación Civil
POINT(-99.18121799 19.40339697),Cine Club Indigente Copal,Itinerante,"-99,17348082","19,25938566",De 6 a 10 personas,Sí,6 a 10,Especializado,No,Mixtos,No aplica
