geom,idespacio,nombre_del_espacio,longitude,latitude,espacio_fisico_permanente,tipo_de_espacio_fisico,espacio_especializado,tipo_de_equipamiento,archivo_filmico,videoteca,tipo_de_archivo,redes
,351,CineForo Mayahuel,"-99,28174465",,No,,Adaptado,Equipamiento adecuado,Sí,Sí,Digital,Sí
POINT(-99.0224338113064 19.2991938923603),232,Espacio de Proyección Underground Paradise,"-99,02243381","19,29919389",Sí,Propio,Adaptado,Equipamiento mínimo,No,Sin información,Sin información,Sin información
POINT(-99.133801620827 19.4319666713125),21,"Espacio de exhibición Ágora, Galería del Pueblo","-99,13380162","19,43196667",Sí,Propio,Adaptado,Equipamiento mínimo,No,No,Físico,No
POINT(-99.1607280189246 19.3500189693705),16,Museo Nacional de Culturas Populares,"-99,16072802","19,35001897",Sí,Propio,Adaptado,Equipamiento mínimo,No,No,Otro,No
POINT(-99.1564570477593 19.3767070103194),12,Cinefilia Amerike ,"-99,15645705","19,37670701",Sí,Propio,Sala de proyecciones,Equipamiento adecuado,No,No,Digital,No
POINT(-99.1328383054266 19.5453409940626),17,Los carnales dos,"-99,13283831","19,54534099",Sí,Propio,Adaptado,Equipamiento adecuado,Sí,No,Digital,No
POINT(-99.1022916185168 19.3036968235709),51,Cine Foro UPAVIG,"-99,10229162","19,30369682",Sí,Propio,Sala de proyecciones,Equipamiento profesional,No,Sí,Físico,Sí
POINT(-98.9952336266707 19.2214694335082),70,FARO Tecómitl,"-98,99523363","19,22146943",Sí,Propio,Sala de cine,Equipamiento profesional,No,No,Digital,Sí
POINT(-99.1604878017965 19.4089609499019),140,Cine Tonalá,"-99,1604878","19,40896095",Sí,Propio,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
POINT(-99.1609070106616 19.4121548015831),152,Cine Debate at Poch@ House,"-99,16090701","19,4121548",Sí,Propio,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
POINT(-99.16845 19.36994),326,El Hormiguero,"-99,16845","19,36994",Sin información,Privado,Sala de cine,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1320953 19.439209),179,Museo de la Mujer,"-99,1320953","19,439209",Sin información,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1641085 19.4192674),185,PULQUECINEMA,"-99,1641085","19,4192674",Sí,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1383219 19.363354),199,Raices Centro Cultural,"-99,1383219","19,363354",Sí,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.2038637825712 19.4050883302988),319,"CENTRO (Centro de diseño,cine y televisión)","-99,20386378","19,40508833",Sin información,Privado,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1462746338571 19.4365097301432),345,Cine Club Santa Rosa,"-99,14627463","19,43650973",Sí,Privado,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1444724959634 19.4341609400882),163,Colectivo Cine Social (En el Museo Memoria y Tolerancia),"-99,1444725","19,43416094",Sin información,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.16888 19.40819),325,Universidad del Distrito Federal Campus Condesa,"-99,16888","19,40819",Sin información,Privado,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1511613608426 19.385816672703),57,Cineclub LA VENTANA,"-99,15116136","19,38581667",Sí,Privado,Adaptado,Equipamiento mínimo,Sí,No,Digital,Sí
POINT(-99.1327661823202 19.4293422903427),32,Un paseo por los libros A.C. (espacio de exhibición),"-99,13276618","19,42934229",Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Otro,No
POINT(-99.0640515492035 19.3453544666457),95,Cineclub Cinema 1917,"-99,06405155","19,34535447",Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
POINT(-99.189555262096 19.513448929751),82,Cineclub El Umbral ,"-99,18955526","19,51344893",Sí,Privado,Adaptado,Equipamiento mínimo,Sí,Sí,Digital,Sí
POINT(-99.1435788594097 19.3234157218791),26,Cinema Volcán,"-99,14357886","19,32341572",Sí,Privado,Sin información,Equipamiento mínimo,No,No,Otro,No
POINT(-99.194326320369 19.2869039228497),97,FORO ELEFANTE (Espacio de exhibición independiente autogestivo) ,"-99,19432632","19,28690392",Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
POINT(-99.1338966473502 19.399379196135),342,Centro cultural Foro la Cura,"-99,13389665","19,3993792",Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Otro,No
POINT(-99.1318912473493 19.4354920838676),343,Argentina 8mm,"-99,13189125","19,43549208",Sí,Privado,Adaptado,Equipamiento mínimo,Sí,No,Físico,No
POINT(-99.1338874324182 19.4319970711719),27,Cine Ágora,"-99,13388743","19,43199707",Sí,Privado,Sala de proyecciones,Equipamiento mínimo,No,No,Físico,No
POINT(-99.1767971626938 19.4140988768908),94,Uotan Studio,"-99,17679716","19,41409888",Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Otro,No
POINT(-99.0498364338605 19.3108412863648),68,CINE CLUB Cine Vagabundo ,"-99,04983643","19,31084129",Sí,Privado,Adaptado,Equipamiento mínimo,Sí,Sí,Físico,Sí
POINT(-99.1727876305743 19.3480565797732),38,Terminal Coyacán,"-99,17278763","19,34805658",Sí,Privado,Adaptado,Equipamiento adecuado,No,No,Digital,No
POINT(-99.182102316664 19.335815773801),98,"Centro Universitario Cultural, A. C.","-99,18210232","19,33581577",Sí,Privado,Adaptado,Equipamiento adecuado,Sí,No,Celuloide,Sí
POINT(-99.1599611189231 19.4508303470259),39,Casa Gallina AC. ,"-99,15996112","19,45083035",Sí,Privado,Adaptado,Equipamiento adecuado,Sí,No,Físico,No
POINT(-99.1027622626967 19.3002955323732),4,Cine Club Audiencia Soñada,"-99,10276226","19,30029553",Sí,Privado,Sala de proyecciones,Equipamiento adecuado,Sí,Sí,Físico,Sí
POINT(-99.1172221865079 19.4816017319361),96,La pulguita cinéfila (foro cultural),"-99,11722219","19,48160173",Sí,Privado,Adaptado,Equipamiento adecuado,Sí,Sí,Digital,No
POINT(-99.1545689305729 19.436379295446),58,Cine Club Revolución ,"-99,15456893","19,4363793",Sí,Privado,Adaptado,Equipamiento adecuado,No,No,Digital,Sí
POINT(-99.0528847591217 19.3738461967093),99,Cineclub CINEITIZ ,"-99,05288476","19,3738462",Sí,Privado,Adaptado,Equipamiento adecuado,No,No,Otro,No
POINT(-99.2587395608433 19.3594425038494),337,Tecnológico de Monterrey Campus Santa Fe,"-99,25873956","19,3594425",Sí,Privado,Sala de proyecciones,Equipamiento adecuado,No,Sí,Físico,No
POINT(-99.0932319459161 19.2415507901274),25,Cineclub Identidad,"-99,09323195","19,24155079",Sí,Privado,Adaptado,Equipamiento adecuado,Sí,No,Físico,Sí
POINT(-99.042345462697 19.2900749446547),84,Cineclubes Foro arteria ,"-99,04234546","19,29007494",Sí,Privado,Sala de proyecciones,Equipamiento profesional,Sí,Sí,Físico,Sí
POINT(-99.1647726613132 19.4107403198976),165,Facultad de Cine,"-99,16477266","19,41074032",Sin información,Privado,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
POINT(-99.1348681515319 19.4879449434441),59,Cineclub TAC toma de acción comunitaria,"-99,13486815","19,48794494",Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Sin información,Sí
POINT(-99.3075507878275 19.3556080104596),93,“KILITA RESISTENCIA” taller/centro cultural ,"-99,30755079","19,35560801",Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Digital,No
POINT(-99.0477456761899 19.2580831516597),90,Casa ciclista Xochimilco ,"-99,04774568","19,25808315",Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Otro,No
POINT(-99.1596215170792 19.3579073610424),28,Instituto del Derecho de Asilo Museo casa de León Trotsky AC,"-99,15962152","19,35790736",Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Otro,No
POINT(-99.00745 19.2737371),243,Hacklab Feminista. La Chinampa.,"-99,00745","19,2737371",Sí,Privado,Adaptado,Equipamiento insuficiente,Sí,Sin información,Digital,Sin información
POINT(-99.2115325 19.4969147),23,Centro Cultural Xitle ,"-99,2115325","19,4969147",Sí,Rentado,Adaptado,Equipamiento mínimo,No,No,Otro,No
POINT(-99.1384575608407 19.4580294229059),101,CINECLUB Barrio Warrior Colectivo A.C.,"-99,13845756","19,45802942",Sí,Rentado,Sala de proyecciones,Equipamiento mínimo,No,No,Digital,Sí
POINT(-99.1388840185142 19.4006509730931),355,La Sobremesa Cineclub,"-99,13888402","19,40065097",Sí,Rentado,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
,80,Cineteca para raros,,,Sí,Rentado,Adaptado,Equipamiento mínimo,Sí,Sí,Digital,No
POINT(-99.1928472170796 19.3367905541833),31,Universidad del Cine,"-99,19284722","19,33679055",Sí,Rentado,Adaptado,Equipamiento mínimo,Sí,Sí,Digital,Sí
POINT(-99.143586506874 19.3996881577508),356,"Nocturama, cineclub de Tristessa","-99,14358651","19,39968816",Sí,Rentado,Adaptado,Equipamiento mínimo,No,Sí,Físico,Sí
POINT(-99.147062385566 19.4377071221992),77,Museo del Pulque y las Pulquerías,"-99,14706239","19,43770712",Sí,Rentado,Adaptado,Equipamiento mínimo,No,No,Digital,No
POINT(-99.14809170132 19.3396821802818),88,CENTRO CULTURAL REAL UNDER / CINEMAUNDER,"-99,1480917","19,33968218",Sí,Rentado,Adaptado,Equipamiento mínimo,Sí,No,Digital,Sí
POINT(-99.1403379896789 19.3748197494721),60,"La Grieta Cine (cineclub, laboratorio)","-99,14033799","19,37481975",Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,No,Físico,No
POINT(-99.1504363203674 19.3507868278217),335,CineClubA7,"-99,15043632","19,35078683",Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,Sí
POINT(-99.0836224473513 19.3575802623633),344,Cinema 242,"-99,08362245","19,35758026",Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,No
POINT(-99.1502664413732 19.3509721456412),53,CineClubA7,"-99,15026644","19,35097215",Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,Sí
POINT(-99.1857778630992 19.3879889701325),45,LA CALACA Espacio Cultural ,"-99,18577786","19,38798897",Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,Sí
POINT(-99.1924984900897 19.3399928502093),331,"Cinemanía, espacio de exhibición","-99,19249849","19,33999285",Sí,Rentado,Sala de proyecciones,Equipamiento profesional,Sí,No,Físico,No
POINT(-99.1392491454983 19.4007033337067),354,Hierofante Café,"-99,13924915","19,40070333",Sí,Rentado,Adaptado,Equipamiento insuficiente,No,No,Otro,Sí
POINT(-99.1346883 19.4276917),136,Museo Casa de la Memoria Indómita,"-99,1346883","19,4276917",Sin información,Comodato,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
POINT(-99.1428912 19.4381352),143,Cine La Nana,"-99,1428912","19,4381352",Sí,Comodato,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
POINT(-99.1346221338574 19.4280815944912),124,Cinito Cinedebate,"-99,13462213","19,42808159",Sí,Prestado,Adaptado,Sin información,Sí,Sí,Sin información,Sin información
POINT(-99.1734808152356 19.2593856636878),7,Cine Club Indigente Copal,"-99,17348082","19,25938566",No,Prestado,Adaptado,Equipamiento mínimo,Sí,Sí,Mixto,No
POINT(-99.1942305597868 19.2868240263767),79,Centro Cultural  y Laboratorio ,"-99,19423056","19,28682403",Sí,Prestado,Adaptado,Equipamiento mínimo,No,No,Digital,No
POINT(-99.0695210203639 19.4850715119542),89,Cineclub Cosmología México,"-99,06952102","19,48507151",Sí,Prestado,Adaptado,Equipamiento mínimo,No,Sí,Digital,Sí
POINT(-99.1758777342638 19.4131562648772),6,Cineclub Cenit ,"-99,17587773","19,41315626",No aplica,Prestado,Adaptado,Equipamiento mínimo,No,No,Digital,No
POINT(-99.1590215710085 19.4148554898611),35,Espacio de exhibición Orizaba 161,"-99,15902157","19,41485549",Sí,Prestado,Adaptado,Equipamiento adecuado,No,No,Otro,No
